audio_name,conversation_id,start,end,duration,num_regions,start_hms,end_hms,assigned_customer_index,is_selected_candidate,source_final_start,source_final_end,assignment_reason
Sample2EN.mp3,1,17.848,209.0,191.152,6,00:17.848,03:29.000,1,True,17.848,413.832,merged_into_customer_1
Sample2EN.mp3,2,216.056,352.776,136.72,8,03:36.056,05:52.776,1,True,17.848,413.832,merged_into_customer_1
Sample2EN.mp3,3,361.848,389.352,27.503999999999962,4,06:01.848,06:29.352,1,True,17.848,413.832,merged_into_customer_1
Sample2EN.mp3,4,397.848,413.832,15.98399999999998,2,06:37.848,06:53.832,1,True,17.848,413.832,merged_into_customer_1
Sample2EN.mp3,5,424.6,443.08,18.47999999999996,3,07:04.600,07:23.080,,False,,,not_selected
Sample2EN.mp3,6,448.984,461.128,12.144000000000005,3,07:28.984,07:41.128,,False,,,not_selected
Sample2EN.mp3,7,529.176,570.696,41.51999999999998,3,08:49.176,09:30.696,2,True,529.176,645.672,merged_into_customer_2
Sample2EN.mp3,8,577.304,623.72,46.416000000000054,3,09:37.304,10:23.720,2,True,529.176,645.672,merged_into_customer_2
Sample2EN.mp3,9,630.744,645.672,14.927999999999997,2,10:30.744,10:45.672,2,True,529.176,645.672,merged_into_customer_2
Sample2EN.mp3,10,654.52,665.224,10.704000000000065,1,10:54.520,11:05.224,,False,,,not_selected
Sample2EN.mp3,11,688.44,693.288,4.847999999999956,1,11:28.440,11:33.288,,False,,,not_selected
Sample2EN.mp3,12,739.256,740.808,1.552000000000021,1,12:19.256,12:20.808,,False,,,not_selected
Sample2EN.mp3,13,755.576,777.8,22.223999999999933,3,12:35.576,12:57.800,,False,,,not_selected
Sample2EN.mp3,14,787.704,819.144,31.440000000000055,2,13:07.704,13:39.144,,False,,,not_selected
Sample2EN.mp3,15,826.776,828.936,2.160000000000082,1,13:46.776,13:48.936,,False,,,not_selected
Sample2EN.mp3,16,846.328,849.352,3.024000000000001,1,14:06.328,14:09.352,,False,,,not_selected
Sample2EN.mp3,17,856.856,868.328,11.47199999999998,1,14:16.856,14:28.328,,False,,,not_selected
Sample2EN.mp3,18,881.976,903.784,21.807999999999993,3,14:41.976,15:03.784,,False,,,not_selected
Sample2EN.mp3,19,919.032,921.7,2.6680000000000064,1,15:19.032,15:21.700,,False,,,not_selected
