audio_name,conversation_id,start,end,duration,num_regions,start_hms,end_hms,assigned_customer_index,is_selected_candidate,source_final_start,source_final_end,assignment_reason
Sample2EN.mp3,1,17.8,209.0,191.2,,00:17.800,03:29.000,1,True,17.8,209.0,selected_as_customer_1
Sample2EN.mp3,2,216.1,352.8,136.70000000000002,,03:36.100,05:52.800,2,True,216.1,352.8,selected_as_customer_2
Sample2EN.mp3,3,361.8,389.4,27.599999999999966,,06:01.800,06:29.400,,False,,,not_selected
Sample2EN.mp3,4,397.8,413.9,16.099999999999966,,06:37.800,06:53.900,,False,,,not_selected
Sample2EN.mp3,5,424.6,443.1,18.5,,07:04.600,07:23.100,,False,,,not_selected
Sample2EN.mp3,6,449.0,461.1,12.100000000000023,,07:29.000,07:41.100,,False,,,not_selected
Sample2EN.mp3,7,529.2,570.7,41.5,,08:49.200,09:30.700,,False,,,not_selected
Sample2EN.mp3,8,577.3,623.7,46.40000000000009,,09:37.300,10:23.700,,False,,,not_selected
Sample2EN.mp3,9,630.7,645.7,15.0,,10:30.700,10:45.700,,False,,,not_selected
Sample2EN.mp3,10,654.5,665.2,10.700000000000045,,10:54.500,11:05.200,,False,,,not_selected
Sample2EN.mp3,11,688.4,693.3,4.899999999999977,,11:28.400,11:33.300,,False,,,not_selected
Sample2EN.mp3,12,739.3,740.9,1.6000000000000227,,12:19.300,12:20.900,,False,,,not_selected
Sample2EN.mp3,13,752.0,777.8,25.799999999999955,,12:32.000,12:57.800,,False,,,not_selected
Sample2EN.mp3,14,787.7,819.1,31.399999999999977,,13:07.700,13:39.100,,False,,,not_selected
Sample2EN.mp3,15,826.8,829.0,2.2000000000000455,,13:46.800,13:49.000,,False,,,not_selected
Sample2EN.mp3,16,844.5,849.4,4.899999999999977,,14:04.500,14:09.400,,False,,,not_selected
Sample2EN.mp3,17,856.9,868.3,11.399999999999977,,14:16.900,14:28.300,,False,,,not_selected
Sample2EN.mp3,18,882.0,903.8,21.799999999999955,,14:42.000,15:03.800,,False,,,not_selected
Sample2EN.mp3,19,919.0,921.7,2.7000000000000455,,15:19.000,15:21.700,,False,,,not_selected
